# Accelerometer Data File
# Started @Wed Mar 30 10:28:48 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
0.097 0.099 -0.222 9
0.009 0.172 -0.059 8
-0.149 0.101 -0.038 8
-0.384 0.109 -0.128 9
-0.553 0.156 -0.182 8
-0.558 0.18 -0.128 9
-0.426 0.192 -0.044 8
-0.251 0.201 0.045 8
-0.049 0.181 0.115 9
0.105 0.151 0.125 8
0.243 0.113 0.057 9
0.396 0.056 -0.068 8
0.553 -0.047 -0.197 8
0.555 -0.109 -0.258 9
0.476 -0.147 -0.305 8
0.42 -0.185 -0.326 9
0.359 -0.244 -0.31 8
0.271 -0.312 -0.271 8
0.206 -0.335 -0.249 9
0.111 -0.278 -0.236 8
0.093 -0.217 -0.257 9
0.136 -0.176 -0.251 8
0.204 -0.131 -0.189 8
0.263 -0.073 -0.073 9
0.296 -0.042 0.061 8
0.343 -0.042 0.141 8
0.476 -0.165 0.048 9
0.562 -0.376 -0.19 8
0.583 -0.612 -0.487 9
0.546 -0.801 -0.719 8
0.425 -0.883 -0.764 8
0.174 -0.957 -0.617 9
-0.004 -1.075 -0.434 8
-0.227 -1.198 -0.278 9
-0.539 -1.279 -0.155 8
-0.915 -1.271 -0.043 8
-1.293 -1.121 0.083 9
-0.945 -1.604 -0.024 8
-0.589 -2.1 -0.027 9
-0.569 -2.243 0.065 8
-0.855 -1.983 0.264 8
-1.194 -1.482 0.554 9
-1.315 -0.956 0.868 8
-1.244 -0.418 1.087 9
-1.139 0.187 1.298 8
-1.032 0.82 1.458 8
-0.885 1.446 1.501 9
-0.638 2.019 1.368 8
-0.275 2.431 1.054 9
0.13 2.631 0.457 8
0.427 2.688 -0.335 8
0.561 2.647 -1.172 9
0.551 2.551 -1.914 8
0.438 2.419 -2.489 8
0.208 2.215 -2.936 9
-0.098 1.952 -3.262 8
-0.215 1.614 -3.339 9
-0.228 1.24 -3.109 8
-0.213 0.872 -2.556 8
-0.22 0.534 -1.734 9
-0.28 0.209 -0.839 8
-0.344 -0.083 -0.033 9
-0.414 -0.388 0.621 8
-0.508 -0.632 1.216 8
-0.614 -0.781 1.769 9
-0.72 -0.837 2.241 8
-0.859 -0.768 2.564 9
-0.852 -0.712 2.746 8
-0.881 -0.644 2.737 8
-0.972 -0.57 2.563 9
-1.064 -0.505 2.224 8
-1.086 -0.462 1.735 9
-1.129 -0.416 1.299 8
-1.101 -0.323 0.845 8
-0.958 -0.235 0.412 9
-0.752 -0.143 0.072 8
-0.54 -0.046 -0.171 8
-0.355 0.043 -0.372 9
-0.215 0.083 -0.63 8
-0.063 0.115 -0.822 9
0.122 0.108 -1.012 8
0.327 0.092 -1.147 8
0.533 0.086 -1.201 9
0.716 0.094 -1.187 8
0.762 0.127 -1.062 9
0.745 0.14 -0.824 8
0.65 0.173 -0.521 8
0.473 0.19 -0.268 9
0.238 0.17 -0.142 8
0.0 0.119 -0.154 9
-0.145 0.053 -0.234 8
-0.187 0.01 -0.37 8
-0.075 0.021 -0.441 9
0.138 0.048 -0.437 8
0.364 0.078 -0.377 9
0.516 0.116 -0.299 8
0.561 0.09 -0.29 8
0.579 0.064 -0.333 9
0.562 0.036 -0.324 8
0.525 0.027 -0.207 9
0.49 0.039 0.009 8
0.478 0.053 0.253 8
0.532 0.076 0.333 9
0.542 0.106 0.272 8
0.542 0.163 0.204 8
0.529 0.241 0.154 9
0.508 0.307 0.098 8
0.506 0.317 -0.007 9
0.566 0.3 -0.15 8
0.59 0.289 -0.247 8
0.62 0.262 -0.284 9
0.666 0.23 -0.256 8
0.713 0.194 -0.193 9
0.718 0.139 -0.161 8
0.633 0.081 -0.136 8
0.353 0.002 -0.185 9
0.116 -0.102 -0.166 8
0.008 -0.237 -0.074 9
0.045 -0.367 0.074 8
0.205 -0.41 0.295 8
0.382 -0.361 0.446 9
0.546 -0.307 0.517 8
0.696 -0.258 0.476 9
0.816 -0.228 0.367 8
0.865 -0.228 0.25 8
0.783 -0.26 0.165 9
0.58 -0.312 0.215 8
0.405 -0.383 0.298 8
0.34 -0.468 0.464 9
0.373 -0.569 0.675 8
0.465 -0.682 0.844 9
0.603 -0.796 0.889 8
0.642 -0.937 0.67 8
0.677 -1.038 0.444 9
0.705 -1.154 0.154 8
0.738 -1.312 -0.201 9
0.786 -1.509 -0.565 8
0.852 -1.703 -0.811 8
0.83 -1.848 -0.918 9
0.877 -1.945 -0.916 8
0.939 -1.975 -0.947 9
0.984 -1.856 -0.919 8
1.094 -1.686 -0.741 8
1.585 -2.032 -0.541 9
1.392 -1.747 -0.158 8
0.579 -0.83 0.346 9
-0.115 0.007 0.787 8
-0.458 0.531 1.124 8
-0.604 0.89 1.402 9
-0.852 1.273 1.537 8
-1.164 1.555 1.636 9
-1.393 1.697 1.729 8
-1.486 1.761 1.763 8
-1.487 1.771 1.707 9
-1.519 1.717 1.553 8
-1.755 1.676 1.275 8
-1.942 1.595 0.873 9
-2.021 1.504 0.417 8
-2.014 1.355 -0.021 9
-1.949 1.153 -0.394 8
-1.851 0.958 -0.673 8
-1.773 0.775 -0.822 9
-1.547 0.528 -0.889 8
-1.354 0.284 -0.881 9
-1.2 0.086 -0.765 8
-1.113 -0.038 -0.523 8
-1.122 -0.081 -0.164 9
-1.007 -0.09 0.203 8
-0.924 -0.116 0.482 9
-0.911 -0.07 0.659 8
-0.903 0.014 0.766 8
-0.823 0.102 0.837 9
-0.63 0.184 0.888 8
-0.431 0.289 0.857 9
-0.299 0.401 0.721 8
-0.131 0.442 0.516 8
0.048 0.44 0.303 9
0.208 0.45 0.126 8
0.341 0.53 0.003 9
0.485 0.569 -0.082 8
0.632 0.581 -0.146 8
0.755 0.567 -0.197 9
0.843 0.524 -0.264 8
0.907 0.449 -0.348 8
0.972 0.334 -0.409 9
0.98 0.247 -0.56 8
0.963 0.181 -0.697 9
0.937 0.111 -0.717 8
0.874 0.044 -0.679 8
